$GPGGA,184501.00,4515.4033955,N,11818.6201076,W,1,5,1.5,100.01,M,0.00,M,,*7B
$GPGGA,064238.00,4500.4531279,N,11843.1857746,W,1,5,1.5,100.01,M,0.00,M,,*7B
$GPGGA,074724.00,4502.5092071,N,12023.4530789,W,1,5,1.5,100.01,M,0.00,M,,*70
$GPGGA,221244.00,4514.2071565,N,12216.3465361,W,1,5,1.5,100.01,M,0.00,M,,*7C
$GPGGA,141214.00,4524.2649418,N,12256.5806112,W,1,5,1.5,100.01,M,0.00,M,,*74
$GPGGA,224954.00,4503.3800543,N,12010.4071653,W,1,5,1.5,100.01,M,0.00,M,,*78
$GPGGA,201438.00,4524.4501285,N,12142.1815894,W,1,5,1.5,100.01,M,0.00,M,,*77
$GPGGA,043957.00,4515.4817593,N,11933.2515121,W,1,5,1.5,100.01,M,0.00,M,,*7B
$GPGGA,220032.00,4501.4101404,N,12037.2128889,W,1,5,1.5,100.01,M,0.00,M,,*7D
$GPGGA,054244.00,4518.2752133,N,11837.1250868,W,1,5,1.5,100.01,M,0.00,M,,*7B
$GPGGA,115722.00,4513.3321771,N,12042.1384687,W,1,5,1.5,100.01,M,0.00,M,,*7E
$GPGGA,183429.00,4509.5012096,N,12034.5943914,W,1,5,1.5,100.01,M,0.00,M,,*78
$GPGGA,123123.00,4502.3608200,N,11912.2114323,W,1,5,1.5,100.01,M,0.00,M,,*7D
$GPGGA,205002.00,4515.4144262,N,12045.4557657,W,1,5,1.5,100.01,M,0.00,M,,*79
$GPGGA,203840.00,4515.1180056,N,11945.4358648,W,1,5,1.5,100.01,M,0.00,M,,*74
$GPGGA,144406.00,4507.5062734,N,12052.4874133,W,1,5,1.5,100.01,M,0.00,M,,*71
$GPGGA,170701.00,4513.6977248,N,12227.3916371,W,1,5,1.5,100.01,M,0.00,M,,*71
$GPGGA,055307.00,4518.3982987,N,11824.1350752,W,1,5,1.5,100.01,M,0.00,M,,*7C
$GPGGA,053835.00,4506.8711221,N,11947.1415739,W,1,5,1.5,100.01,M,0.00,M,,*78
$GPGGA,092234.00,4459.2339935,N,11824.3435072,W,1,5,1.5,100.01,M,0.00,M,,*73
$GPGGA,195925.00,4513.8244868,N,12145.2231754,W,1,5,1.5,100.01,M,0.00,M,,*74
$GPGGA,094440.00,4516.4699297,N,11843.2064485,W,1,5,1.5,100.01,M,0.00,M,,*7C
$GPGGA,055351.00,4505.2280228,N,11821.2597131,W,1,5,1.5,100.01,M,0.00,M,,*7D
$GPGGA,161534.00,4512.5150031,N,11929.5010175,W,1,5,1.5,100.01,M,0.00,M,,*7F
$GPGGA,052300.00,4529.5334621,N,12249.4407296,W,1,5,1.5,100.01,M,0.00,M,,*73
$GPGGA,112835.00,4506.3960824,N,12149.4029210,W,1,5,1.5,100.01,M,0.00,M,,*75
$GPGGA,143512.00,4501.2821575,N,11859.9807161,W,1,5,1.5,100.01,M,0.00,M,,*75
